park_date,wait_hour,attraction_name,wait_minutes_posted_avg,attraction_duration,attraction_park,attraction_land,park_open,park_close,park_extra_magic_morning,park_extra_magic_evening,park_ticket_season,park_temperature_average,park_temperature_high,attraction_short_name
2018-04-28,17,Expedition Everest - Legend of the Forbidden Mountain,41.66666667,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,18,Expedition Everest - Legend of the Forbidden Mountain,44.44444444,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,19,Expedition Everest - Legend of the Forbidden Mountain,38,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,20,Expedition Everest - Legend of the Forbidden Mountain,27.22222222,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,21,Expedition Everest - Legend of the Forbidden Mountain,21.5,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,22,Expedition Everest - Legend of the Forbidden Mountain,6,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-29,7,Expedition Everest - Legend of the Forbidden Mountain,5,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,8,Expedition Everest - Legend of the Forbidden Mountain,5.714285714,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,9,Expedition Everest - Legend of the Forbidden Mountain,10,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,10,Expedition Everest - Legend of the Forbidden Mountain,39.09090909,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,11,Expedition Everest - Legend of the Forbidden Mountain,44.44444444,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,12,Expedition Everest - Legend of the Forbidden Mountain,44.44444444,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,13,Expedition Everest - Legend of the Forbidden Mountain,51.66666667,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,14,Expedition Everest - Legend of the Forbidden Mountain,43.88888889,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,15,Expedition Everest - Legend of the Forbidden Mountain,42.77777778,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,16,Expedition Everest - Legend of the Forbidden Mountain,43.5,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,17,Expedition Everest - Legend of the Forbidden Mountain,33.88888889,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,18,Expedition Everest - Legend of the Forbidden Mountain,26.42857143,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,20,Expedition Everest - Legend of the Forbidden Mountain,18.75,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,21,Expedition Everest - Legend of the Forbidden Mountain,27.22222222,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-29,22,Expedition Everest - Legend of the Forbidden Mountain,6,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,73.59,85.45,Expedition Everest
2018-04-30,7,Expedition Everest - Legend of the Forbidden Mountain,5,4,Disney's Animal Kingdom,Asia,9:00:00,22:00:00,1,0,value,73.45,82.6,Expedition Everest
2018-04-30,8,Expedition Everest - Legend of the Forbidden Mountain,7.222222222,4,Disney's Animal Kingdom,Asia,9:00:00,22:00:00,1,0,value,73.45,82.6,Expedition Everest
2018-04-30,9,Expedition Everest - Legend of the Forbidden Mountain,26.11111111,4,Disney's Animal Kingdom,Asia,9:00:00,22:00:00,1,0,value,73.45,82.6,Expedition Everest
